word,count
tiempo,505
jefe,506
tema,524
justicia,532
derecho,538
cargo,540
pública,543
ministra,558
poder,559
senador,565
investigación,576
empresa,578
forma,585
interior,597
fiscal,599
estudiantes,603
acuerdo,604
general,612
reforma,614
político,622
servicio,639
situación,647
santiago,680
comisión,685
diputado,687
proceso,697
bachelet,707
público,711
trabajo,717
universidad,730
partido,786
ministerio,810
millones,830
personas,899
ley,902
política,920
proyecto,928
país,934
presidenta,960
sistema,994
nacional,1010
educación,1036
presidente,1046
estado,1109
caso,1144
ministro,1223
chile,1840
gobierno,1910
